,rank,name,birth,team,year,gp,cg,sho,gs,win,loss,save,hold,inning,runs,earned_run,batter_faced,hits,base2,base3,home_run,walk,intentional_walk,hb,so,balk,wild,ERA,FIP,WHIP,ERAplus,FIPplus,WAR,WPA,relief_WAR
297,298.0,이선희,1955-02-14,Samsung Lions,1984,17.0,0.0,0.0,8.0,2.0,4.0,0.0,0.0,51.2,31.0,26.0,225.0,58.0,0.0,0.0,6.0,23.0,0.0,3.0,23.0,0.0,2.0,4.53,4.27,1.57,73.6,78.0,0.12,0.0,0.07
298,299.0,조도연,1961-08-06,Haitai Tigers,1988,6.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,9.2,4.0,4.0,41.0,8.0,0.0,0.0,0.0,8.0,0.0,2.0,2.0,0.0,0.0,3.72,5.27,1.66,102.8,72.7,0.11,0.0,0.06
299,300.0,김훈기,1962-07-25,Samsung Lions,1986,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,8.0,4.0,3.0,35.0,9.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,3.38,2.95,1.5,91.6,104.8,0.11,0.0,0.06
300,301.0,장정순,1964-08-01,Binggre Eagles,1988,13.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,32.1,21.0,18.0,147.0,35.0,0.0,0.0,4.0,15.0,1.0,4.0,16.0,1.0,0.0,5.01,4.87,1.55,78.3,80.6,0.11,0.0,0.06
301,302.0,권기홍,1961-07-12,Samsung Lions,1985,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,14.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,3.0,1.22,1.67,118.4,291.8,0.11,0.0,0.06
302,303.0,진동한,1961-06-04,Samsung Lions,1984,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,21.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,1.8,4.54,1.2,185.1,73.4,0.1,0.0,
303,304.0,박동경,1964-03-03,Samsung Lions,1987,8.0,1.0,0.0,4.0,1.0,1.0,0.0,0.0,29.2,17.0,17.0,131.0,32.0,0.0,0.0,2.0,16.0,0.0,1.0,10.0,0.0,2.0,5.16,4.39,1.62,69.2,81.3,0.1,0.0,0.06
304,305.0,황기선,1958-06-02,OB Bears,1986,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,24.1,14.0,12.0,108.0,26.0,0.0,0.0,1.0,15.0,0.0,2.0,6.0,2.0,1.0,4.44,4.21,1.69,67.0,70.5,0.09,0.0,0.06
305,306.0,박석채,1957-08-26,MBC Blue Dragons,1983,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,11.0,4.0,3.0,51.0,12.0,0.0,0.0,1.0,8.0,0.0,0.0,4.0,1.0,1.0,2.45,4.69,1.82,126.0,65.9,0.08,0.0,0.05
306,307.0,감사용,1957-03-23,Samsung Lions,1984,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0,9.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.43,1.29,0.0,97.9,0.08,0.0,0.05
